,Comment,Toxicity Score
30,   Mutual funds are regulated by the SEC while hedge funds are notregulation in general   This is simply wrong  Investment Advisers the managers of hedge funds in the US are governed by the Investment Advisers Act of 1940  There are many aspects of the Act that apply both to registered and unregistered advisers  The most important of these provisions are antifraud measures  The SEC enforces the Act    Registered IAs can count on a visit from the SEC on a schedule determined by the adviserfunds perceived riskiness  To try and draw some kind of distinction between an adviser being regulated and a fund being regulated is pointless when the SEC visits they are empowered to review all aspects of an advisers funds  The SEC can use Rule 20648 under the Act to come in and look at an unregistered advisers funds as well    More it is ludicrous to state that hedge funds are largely unregulated although this phrase is repeated in the popular press frequently  In the US hedge funds may be regulated by the SEC CFTC FINRA various SROs and exchanges state securities regulators the Department of Labor and maybe others  In addition to the Act hedge funds are regulated under the Investment Company Act for exclusion from the definition of an Investment Company and the Securities Act of 1933 Regulation D  concerning sales of private securities  Any trading by direct investment hedge funds is subject to all the rules of FINRA and the exchanges    If anything regulation in the UK is even stricter  Solid regimes exist in other jurisdictions including Cayman and Bermuda  In short it is the case in the US and the UK among other major venues that hedge funds are highly regulated pools of capital  I will propose changes to the article as time permits   ,0.040183347
31, 16 January 2015 UTC  Well I didnt say it should be only that if its 100 duplicative it should be  If it aint a merger andor renaming might be appropriate I dont have an opinion  1430,0.030388435
32,  THP Arb   After looking through the Arbitration policies it appears that you can simply add yourself to the Arbitration Request as another involved party at WikipediaRequests for arbitration  In this manner you can then make a Statement and participate in the evidence sections of the arbitration ,0.02072494
33,Bill        dear  sir    you are gay    stay over at dans    you can bum,0.78207105
34, But what evidence is there to say that this IP has done any of that GoodDay has even retracted his unfounded accusation as he has no proof to back it up,0.103494145
35,If this is included it should just be a sentence  Presently it is an accusation and it is under investigation  Someone earlier reminded everyone that Wikipedia is not a news source  The biography of a living person is not a place for every detail of an accusation such as this  For now one sentence should suffice  If readers want detail they can do their own Google search I think we would all do well to imagine if an accusation about us was being publicly debated by anonymous strangers,0.05824285
36,NOBODY CARES that you can try and fake or manufacture a mathematical equation to concur with your BSshyjayb,0.43720075
37, Unfortunately   This para isnt acceptable   Unfortunately UNESCO did not check the credentials of its partner who are engineers but not historians Ibn alHaytham did not lay the foundations of the present day but contributed with significant work to methods theories and observations that were developed and made in Antiquity and shared by many scholars whatever their ethnicity or religious affiliation in Islamicate and Christian societies of the Middle Ages and the early modern period Hence Ibn alHaytham certainly deserves our respect and appreciation as one of the great scholars of the 10th century and worthy to be mentioned with praise in all our modern cultures across the globe  in schoolbooks newspapers the TV the Internet or other media But we should not present him as the inventor of modern optics or todays scientific methods which are neither one nor the same even as in the 19th century  It may or may not be true but without any sources its just editorial interpolation,0.11378009
38,Concur,0.009047564
39,It fcks both men and women not only men as there was written,0.6491204
40,Closeup of female breastjpg300,0.46982017
41, Conservative Democratic Alliance   I have reverted the unsubstantiated rubbish you wrote about CDA Since I am Chairman I know somewhat more about my organisation than you do  Why are you interested in my group,0.37751234
42,I know youre open minded and Im a stupid jerk ,0.6827122
43,WPCRIC  Hi welcome to Wikipedia  I noticed your edits to Wilfred Rhodes which have improved that article somewhat  We have a very active cricket project on the site and you are more than welcome to join it  We particularly need biographical and historical material to take the project forward  You can find details of the project at WPCRIC and it has a discussion page at WTCRIC where you can raise any cricketrelated questions or any general questions about the site someone will always try and help if you do  Best wishes   ,0.011874928
44,  I think the Yuan Dynasty statement in the present version is fine  However I think lets not get into the definition of these terms Yuan Dynasty Chinese dynasty or not blah blah and just stick to the statement that are referenced by the sources  I understand that since many users edits this article many want to use their preferred sources  I think without too much conflict we should accommodate as much as possible  That is why I did not revert you addding statements about Dalai Lama both times with support from different Mongol and Oirad factions or change the statement you changed about the Mongol Empire and Yuan Dynasty  ,0.11067997
45,Yes thats part of the problem  People are clearly using Wikipedia to echo SPLC POV,0.14950264
46, Unconstructive   Please stop making unconstructive edits to Wikipedia Wes Brown John OShea and Park JiSung have not left Manchester United Those are not the only unconstructive edits you have made but I have neither the time nor the inclination to go through your edit history and point out all the mistakes youve been making Dont get me wrong some of your edits have been helpful but they are far outweighed by the bad ones –,0.19219314
47,Democratic socialist again  As he has done so often in the past Michaelm has changed an article without providing any evidence for his change Evidence for the revert is provided above,0.11378009
48,  What the hell is this Why do you call me a  a possibly banned user   ,0.63782936
49,   DYK issue   Hi there Thank you for your help Now youve done part of the job at TTDYKHow to promote an accepted hook Will you finish with In your edit summary please indicate which prep area you are moving the hook to or can I do that   ,0.02685301
50, Hi   Hi Ive not spoken to you in a while so I thought Id pop round and say hi  I also have a question but that is of course just a coincidence As you seem to know a lot about policy I thought youre the person to ask the following what is the policy on redlinks So hello and thanks,0.02308189
51,  Almost right The editorial is secondary but written by the same people who decided to publish the primary paper on which that editorial comments By definition that is not independent and hence not reliable as a source for statements about the primary source Further the most interesting things stated in that editorial are about their reasons for publishing the primary source Such statements are in fact primary observations about their own motivations Hang in there someday someone will find something useable published about these guys  ,0.09915545
52, People lying   What is those naked people laying before Origen in ImageOrigen2jpg  Are they dead  Sleeping  Tired of taking dictation,0.41690505
53,   Yuletide greetings    stylewidth 100 border 2px solid red backgroundcolor EEFFFF  rowspan2 valigntop    stylefontsize xxlarge      I ran out of lumps of coal so Im distributing leftover children  Happy holidays     ,0.11150667
54, Done Stubby but the bare essentials are in the new article,0.04290464
55,I disagree and repeating the same point does not change that,0.028385026
56,receptive bareback anal sex,0.8299589
57,   Improved map   Can we get a map which has state borders or other landmarks to make it actually usable  The current one is pretty hard to follow given that it doesnt have any obvious landmarks   ,0.019100413
58,Start  listasRazon Avelino I Jr  politicianworkgroupyes  politicianprioritylow,0.0056233127
59,  What I live in the Philippines and I see people in internet cafes going to porno sites and in bookstores they sell porno magazines with half nudefully nude girls on the cover there are porno sections in the video stores there are Playboy Philippines Maxim Philippines and FHM Philippines And there are also night clubs with sex shows where I live  But Wikipedia says its illegal I live in the Philippines and I can clearly say that pornography is PERFECTLY LEGAL Please fix this because Wikipedia says its illegal when its actually not   ,0.43475235
60,   No  Being horrible is not grounds for deletion of an article  Hitler Mao Stalin were all horrible to people  Are you suggesting deleting them as well  Surely you know the aphorism Those who cant learn historys lessons are doomed to repeat them  Now if this was all rumor and innuendo not properly referenced that would be grounds for deletion    ,0.38601747
61, Yea I only connected the dots that you had a new ID after I posted this at which time I had to get going Was intending to return and revert it later which Ive done Glad to see youre around —,0.03545588
62,I hear you regularly beat yourself off in a pile of your own feces and piss  Eat it Melvin,0.718943
63,   TalkVegeance Night of ChampionsGA1   All of your concerns have been addressed    ,0.03828422
64,httpenwikipediaorgwikiHalfLife28series29,0.023199737
65,How is adding that table vandalism,0.19789438
66,  Sockpuppetry case   alignleft       You have been accused of sockpuppetry Please refer to  for evidence Please make sure you make yourself familiar with notes for the suspect before editing the evidence page  ,0.24603334
67, Jagged   This article seems to have suffered a bad case of Jagged,0.14256015
68,I agree I have never heard of a popular Indian qawwal It is predominantly a Pakistani form of music and all the famous musicians of the genre continue to be Pakistani Even if it is in India there is not much strong sigificance about it Also if Sarabseth does want to show that it exists in India then heshe needs to provide links and references to point out to it rather than just stating opinion,0.083999306
69, Boring   Needs more nigger jokes,0.7105462
70,yes he shot himself in 1963 this article is terrible and it sucks that i dont have the time to fix it,0.61223894
71,It is well knwon that Jainism came from Bihar from the east coast of India in South India,0.054779384
72,can mean all sorts of this it can mean your MUM or just slagskeet or any type of a fending word,0.37751234
73,The heading gives a context I really dont see the need If you think it should be made explicit in the section that Irish troops werent deployed to Darfur I dont see a problem with that,0.04216247
74,Im sure Jack understands the context of my question and can speak for himself thanks,0.010869644
